year,rf_label,count
1921,classical,19
1921,jazz,3
1922,jazz,1
1923,classical,68
1923,jazz,28
1923,pop,5
1924,classical,22
1924,jazz,22
1924,pop,1
1925,classical,74
1925,jazz,39
1925,pop,13
1926,classical,100
1926,jazz,83
1926,pop,8
1927,classical,50
1927,jazz,21
1927,pop,5
1928,classical,171
1928,jazz,37
1928,pop,9
1929,classical,30
1929,jazz,11
1929,pop,7
1930,classical,249
1930,jazz,66
1930,pop,18
1930,rock,1
1931,classical,36
1931,jazz,17
1931,pop,1
1932,classical,117
1932,jazz,33
1932,pop,5
1932,rock,1
1933,classical,224
1933,jazz,103
1933,pop,30
1933,rock,2
1934,classical,129
1934,jazz,25
1934,pop,10
1934,rock,7
1935,classical,181
1935,jazz,107
1935,pop,9
1936,ambient,1
1936,classical,250
1936,jazz,140
1936,pop,182
1936,rock,14
1937,classical,156
1937,jazz,81
1937,pop,9
1938,classical,92
1938,jazz,46
1938,pop,9
1938,rock,2
1939,ambient,1
1939,classical,265
1939,jazz,88
1939,pop,20
1939,rock,24
1940,classical,213
1940,jazz,79
1940,pop,25
1940,rock,2
1941,classical,142
1941,jazz,33
1941,pop,20
1942,classical,228
1942,jazz,57
1942,pop,31
1942,rock,2
1943,classical,86
1943,jazz,22
1943,pop,14
1944,classical,120
1944,jazz,28
1944,pop,62
1945,classical,367
1945,jazz,81
1945,pop,30
1946,classical,408
1946,jazz,32
1946,pop,18
1946,rock,1
1947,classical,213
1947,jazz,62
1947,pop,36
1947,rock,2
1948,classical,243
1948,jazz,63
1948,pop,27
1949,classical,630
1949,jazz,89
1949,pop,37
1949,rock,1
1950,classical,359
1950,jazz,140
1950,pop,90
1950,rock,5
1950,techno,4
1951,classical,532
1951,jazz,149
1951,pop,66
1951,techno,1
1952,classical,466
1952,jazz,172
1952,pop,82
1952,rock,7
1953,classical,668
1953,jazz,142
1953,pop,51
1953,rock,2
1954,classical,900
1954,jazz,241
1954,pop,133
1954,rock,5
1955,classical,1123
